orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
94884146018854,3034933556,7130411008,1641383509,1,103854527,423318317,"thankyou so much seller! I really love kayman and zarzou product!! make my skin glow and smooth hehe. i memang pakai this local product so i will repeat it again! oh ya, so fast delivery too! 🥰",5,,,Soap + Cleanser
113631811259173,3034933556,9230471373,1660194123,1,8293989,423318317,"Skin Suitability:puas hati dgn the product. dah guna selama 6 bln..masalah pigmentasu kulit improved byk.

Super fast service. Tq for the free gift 😍",5,,,Soap + Essence
134622638244164,3034933556,11256295949,1681361616,0,58367044,423318317,barang terima bagus. cukup. packaging ok. penghantaran lambat sikit mungkin sbb nak raya. tq bagi free gift. first time nak try.,3,,,Skintella Moisturzer
129518077246172,3034933556,10846421540,1677148361,1,187231284,423318317,"Skin Suitability:suitable for all skin types. Mine was oily skin
Absorption:best gila sbb tak melekit

Delivery lambat ya",5,suitable for all skin types. Mine was oily skin,best gila sbb tak melekit,Travel Essence 30ml
106696041350265,3034933556,8467067367,1653401016,1,240273036,423318317,Harini order esk dh smpi cpt gila penghantaran👍 dpt free gift tupperware kecik huhuu thnk you seller💫,5,,,Coalface Soap
97633064050222,3034933556,7463586346,1644592290,1,81577532,423318317,"Skin Suitability:all skin type

this is quite hydrating and i loved it! but i have extremely dry skin so have to top up with a heavy moisturizer huhu, love the sleek black look 😍 i love that its a spray type so i bring this travelling hehe. Thank you seller for the fast shipping 😍👍🏻",5,,,Hyalumelon Toner
101102879621060,3034933556,7892702201,1648518217,1,47323880,423318317,"Absorption:good for acne skin
Skin Suitability:good

Thankyou so much. Thanks thanks thanks",5,,,Coalface Soap
99121108308202,3034933556,7569250985,1645602507,1,79124959,423318317,"Yeay dah sampai! 100% original ye. I dah siap scan sekali hehe. Btw, dalam parcel tu wangi betul ye. Buka2 je parcel,  harum semerbak betul 😍 Siap ada freegift lagi. Service pun laju. Thankyou seller!! 🥰❤️",5,,,Skintella Moisturzer
118981302297074,3034933556,9789233484,1665558697,1,317184579,423318317,"Absorption:mantap la local produk Malaysia
Skin Suitability:oily skin

Ni kali kedua saya beli.. produk serasi ngan kulit saya.. sape yang ada jerawat tu pakai sabun ni tau.. apa lagi beli la jangan tengok je",5,,,Coalface Soap
147455004287159,3034933556,12496936821,1694002321,1,419843787,423318317,"Skin Suitability:dah selalu pakai so mantap
Absorption:10/10

this is my 100th botol dah kot. seller ni post out laju so 3 hari dah sampai",5,dah selalu pakai so mantap,10/10,Skintella Moisturzer
145676569213124,3034933556,12378219047,1692891536,1,54330196,423318317,"Skin Suitability:good
Absorption:good

The product is good. Been using it for the past few years and love it. Thank you seller",5,good,good,Soap + Essence
97485313687155,3034933556,7407641720,1644076498,1,168570676,423318317,"Skin Suitability:My skin combination so far sesuai dgn my skin 😍

Thank you seller, sbb pos laju gila ! hahahaha Recommended 💯",5,,,Skintella Moisturzer
99807481618005,3034933556,7791421232,1647586233,1,7437757,423318317,"Skin Suitability:kering
Absorption:bagus

Mmg bagus ya coalface ni since 2018 dah pakai yang version lama. Ni baru nak pakai packaging baru.",5,kering,bagus,Coalface Soap
108632251263578,3034933556,8666526550,1655133198,1,106387751,423318317,"Terbaikkkk!!! Muka breakout dh okey.. seller pos brg laju gilaa, bru je order.. hrini dah sampai, xsampai 2 hari pun.. terbaikkk",5,,,Boing-Boing Kit+Sock
110709977131657,3034933556,8979833352,1657881434,1,182822898,423318317,Dah banyak botol dah pakai essence ni.. memang bagus utk pudarkan parut. Yang penting konsisten. Fast delivery 👍,5,,,Travel Essence 30ml
130913908248518,3034933556,10866616424,1677401945,1,331484324,423318317,"Skin Suitability:gooddd
Absorption:-

Parcel received in a good condition. Thank you for the free gift seller 💛💛💛",5,gooddd,-,NEW Coalberry
90995209286304,3034933556,6675835295,1637510286,1,507958685,423318317,Barang sampai cepat. Cuma saya lambat post. Moisturiser memang bagus untuk parut. Untuk kulit kering.,5,,,CoalFace Soap
126134570224241,3034933556,10468109218,1672795573,1,133477658,423318317,"Terima kasih seller delivery cepat wrapped pon okay very recommended, thanks for free gift",5,,,Travel Essence 30ml
102165231644599,3034933556,7920140449,1648734109,1,37838207,423318317,"Skin Suitability:Very good.
Absorption:Very good.

banyak kali repeat, suka guna, selesa pakai.",5,Very good.,Very good.,Coalface Soap
127280385220333,3034933556,10572711446,1673870627,1,125050538,423318317,"Skin Suitability:good
Absorption:good

Thank you for the gift ..really appreciate it",5,good,good,Suntella UV Milk
96428548199387,3034933556,7294320339,1642924493,1,191247615,423318317,"2 hari je dah sampai , siap ada free gift lagi, balutan kemas, pertama kali mencuba sebab kawan suggest kalau oke dgn muka Insyallah repeat 🥰",4,,,Coalface Soap
118395625205854,3034933556,9749749564,1665117605,1,63297497,423318317,"Skin Suitability:texture dia light & suits my skin so well

My 2nd purchase 🥰
This time seller siap bagi free gift. Thanks 🫶🏻",5,,,NEW Skintella Serum
152249041286480,3034933556,13061004990,1698831178,1,21166219,423318317,"Absorption:okay
Skin Suitability:good

Penghantaran laju. Takda nak comment apa2. Terima kasih seller.",5,,,NEW Coalberry
149795904214905,3034933556,12759954169,1696399670,1,170528767,423318317,"Absorption:fast
Skin Suitability:all skin type

Dah bertahun guna, sangat best. Kalau tukar pun mesti cari balik. Cair dan tahan lama. 4-5 bulan tahan. Parut cepat pudar.",5,,,Rosa Glow Essence
133245872202628,3034933556,11090316386,1679825438,1,238397692,423318317,First time nk cuba..Harap2 sesuai dgn muka..Seller mmg bagos..⭐️⭐️⭐️⭐️⭐️..Buat kerja cepat dan cekap..Yg spoilnya courier..Sakit hati btulllllll...!!!Apa2 pun thanks seller utk free gift yg bnyk nii,5,,,Soap + Serum
117867037227800,3034933556,9748500517,1665106439,1,244228143,423318317,"Skin Suitability:suitable
Absorption:good

Sekarang dah pakai hampir 2 tahun dah, so memang nmpk skin tu less tompok ² Dan more bright",5,suitable,good,Rosa Glow Essence
92013920189310,3034933556,6780169433,1638437400,1,160867323,423318317,Thank u seller.pnghantaran yg pantas..produk yg baik.siap ada free gift lagi,5,,,HoneyGlo + Free Mitt
158340315200144,3034933556,13984435932,1706106080,1,211705452,423318317,"Skin Suitability:All type
Absorption:Fast

Repeatedly buying this product cause it really work well on my skin.",5,All type,Fast,Skintella Moisturzer
122351081121462,3034933556,10100946883,1668843765,1,303723606,423318317,"Skin Suitability:Combination skin
Absorption:suitable with skin

I'm using kayman since 2021, before this using the sabun buku one, but starting this year trying using the coalberry also okay with my skin, purchase two I got free kayman mask.. Thank youu for the great services !",5,Combination skin,suitable with skin,HoneyGlo Exfoliant
158256046203262,3034933556,13819993205,1704780578,1,101492088,423318317,Brg cepat smpai. First time nk cuba harap serasi dgn muka.. Botol cantik2 semangat sikit nk pakai.😂 btw calendar pon comell🤗,5,,,Toner + Moisturizer
105403581294485,3034933556,8337609212,1652260978,1,11136949,423318317,"Skin Suitability:Sensitive and oily

DELIVERY AS EXPECTED. ITEMS SEALED VERY GOOD. VERY SATISFIED!!!",5,,,Coalberry Cleanser
