orderid,itemid,userid,shopid,comment,rating_star
161007184225778,12544232716,491376828,52308230,,5
133146607200887,12544232716,145770063,52308230,Sobrang ganda😍🤍 thankyou So much po🥰😊,5
149554004264522,12544232716,629087887,52308230,"Mga ganda po yong mga books🥰 tapos naka plastic cover po siya plus maganda pa yong packaging 🥰 tapos mabait pa si seller, Kung my concern ka huwag kang mahiyang mag tanong Kay seller Kasi nag re reply siya mga bhie Ang bait Hindi man agad maka reply is nag re reply parin siya, (gulo ba HAHAHAHA Basta yon) Wala na Kong ibang ma sabi kundi maganda yong books tapos mabait at approachable yong seller🥰 salamuchhh uli seller at yong si kuya rider🥰😘",5
129491925278201,12544232716,201301938,52308230,Thankyou din po sa freebies😊,5
120193251167521,12544232716,343683151,52308230,NEVER DISAPPOINTS 💗💗💗💗,5
106243302526667,12544232716,497955885,52308230,Salamat pooo💜💜,5
108292287691555,12544232716,232736599,52308230,,5
109876652153583,12544232716,761385281,52308230,,5
112628415180996,12544232716,343683151,52308230,never disappoints 💗💗💗,5
160501038225305,12544232716,858989055,52308230,Suitability:nc ang seller mabait,5
102430609299386,12544232716,636677425,52308230,♡♡♡,5
114052379284047,12544232716,382302904,52308230,,5
129551301279197,12544232716,638026103,52308230,Tysm.,5
110079778139416,12544232716,378959722,52308230,,5
106664850322798,12544232716,160618373,52308230,Thankyou po!! Sa susunod po na budol hehe!,5
161669328276724,12544232716,1083682174,52308230,pretty books ♡,5
111554052106751,12544232716,139014876,52308230,Thamk you! 😍 may pa cover pa...,5
112365893188116,12544232716,525518929,52308230,my new babies!! thanks seller ^^,5
110811710126777,12544232716,343683151,52308230,chefs kiss 💗💗💗💗,5
107572200682952,12544232716,764591950,52308230,worth it ☺️,5
128015993223319,12544232716,319920933,52308230,Thanks ❤️❤️,5
122593102191130,12544232716,880283800,52308230,10/10,5
116387857294273,12544232716,343683151,52308230,,5
152856799317481,12544232716,334823229,52308230,,5
150976729262977,12544232716,989128018,52308230,,5
155081462290228,12544232716,68354640,52308230,,5
148574745265192,12544232716,719635046,52308230,,5
142775308249005,12544232716,118447865,52308230,,5
148892321293916,12544232716,731897790,52308230,,5
141753676227629,12544232716,1025373316,52308230,,5
138307290236487,12544232716,426291073,52308230,,5
136985108276537,12544232716,87137063,52308230,,5
133159511279300,12544232716,213789198,52308230,,5
116167368288923,12544232716,291085400,52308230,,5
128222636272416,12544232716,267685158,52308230,,5
117928752228271,12544232716,127781310,52308230,,5
117448846219464,12544232716,127781310,52308230,,5
130763257246922,12544232716,953370659,52308230,,5
111717213105432,12544232716,314383050,52308230,,5
111780921190518,12544232716,26291278,52308230,,5
98449219301124,12544232716,27941760,52308230,,5
92408005125279,12544232716,23517708,52308230,,5
115470590243293,12544232716,67224453,52308230,,5
106927447258038,12544232716,342522211,52308230,,5
99586824552296,12544232716,77671444,52308230,,5
123145357293141,12544232716,255073130,52308230,,5
106561428399395,12544232716,265411934,52308230,,5
122741017110297,12544232716,51259104,52308230,,5
105861598299844,12544232716,162169286,52308230,,5
127995180237487,12544232716,566739230,52308230,,5
126768861120105,12544232716,458991097,52308230,,5
111195909174203,12544232716,161986320,52308230,,5
102303038595700,12544232716,319058204,52308230,,5
126807965292552,12544232716,933885340,52308230,,5
113575428203047,12544232716,391176124,52308230,,5
125544908213744,12544232716,914724189,52308230,,5
108226889324718,12544232716,50195670,52308230,,5
110422981167729,12544232716,202216595,52308230,,5
113594391251399,12544232716,233728726,52308230,,5
121875869265725,12544232716,510328734,52308230,,5
110543422191507,12544232716,322256938,52308230,,5
119721440109523,12544232716,466662575,52308230,,5
106445411663769,12544232716,206965234,52308230,,5
122956508182182,12544232716,352087084,52308230,,5
123180388223734,12544232716,823806354,52308230,,5
120767698124603,12544232716,550764456,52308230,,5
95955636575483,12544232716,556975861,52308230,,5
112527642144160,12544232716,482516475,52308230,,5
110955490123849,12544232716,449689972,52308230,,5
110266069147212,12544232716,440743186,52308230,,5
118364194277894,12544232716,597472444,52308230,,5
116911819235259,12544232716,654412158,52308230,,5
112938466133797,12544232716,771473528,52308230,,5
105958058261068,12544232716,581561535,52308230,,5
111560021148414,12544232716,548452222,52308230,,5
108034367330503,12544232716,695851157,52308230,,5
110022495124391,12544232716,373877371,52308230,,5
111499995152113,12544232716,122489798,52308230,,5
109416746577634,12544232716,735179470,52308230,,5
102322483654154,12544232716,729815492,52308230,,5
113816158243546,12544232716,135744123,52308230,,4
113292196264393,12544232716,522699034,52308230,,4
111642390195096,12544232716,577815409,52308230,,3
